"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","基础功能","0","产品信息","12","0","产品信息","0"
"0","基础功能","0","产品信息","9","0","产品参数","0"
"0","基础功能","0","基础信息","6","0","市场日历","0"
"0","基础功能","0","基础信息","17","0","外部机构","0"
"0","任务定制","0","任务操作","1","0","新增任务-审核任务","0"
"0","基础功能","0","基础信息","16","0","产品联系人维护","0"
"0","基础功能","0","基础信息","6","0","机构联系人维护","0"
"0","基础功能","0","基础信息","2","0","产品信息","0"
"0","","1","任务操作","0","0","快速新增任务-绑定积木-审核任务-验收任务-发布任务-停用-删除","0"
"0","任务定制","0","任务操作","1","0","新增任务-绑定积木-编辑积木-删除积木","0"
"0","登录模块","0","登录场景","1","0","场景","0"
"0","任务定制","0","任务操作","1","0","新增任务-审核任务-验收任务-发布任务-完成","0"
"0","任务定制","0","任务操作","1","0","新增任务","0"
"0","任务定制","0","任务操作","1","0","新增任务-审核任务-验收任务","0"
